gen,cost,min_pressure
0,7134918.0,-95.80222
1,7134918.0,-95.80222
2,7134918.0,-95.80222
3,7134918.0,-95.80222
4,7134918.0,-95.80222
5,7134918.0,-95.80222
6,7451890.5,-92.52445
7,7134918.0,-95.80222
8,7020151.0,-94.980576
9,6757715.3,-3.7818007
10,6904311.3,3.2110848
11,6904311.3,3.2110848
12,7299089.5,13.278837
13,7222890.0,16.781809
14,7760233.0,15.85411
15,7193142.8,16.137867
16,7436769.5,22.059633
17,7514793.5,24.174194
18,7514793.5,24.174194
19,7468383.5,24.174194
20,7128659.9,24.945587
21,7023200.9,24.77319
22,7023200.9,24.77319
23,7023200.9,24.77319
24,7023200.9,24.77319
25,7023200.9,24.77319
26,6969209.9,24.933348
27,6920360.9,24.95078
28,6920360.9,24.95078
29,6876139.7,24.95364
30,6697018.3,26.089518
31,6662882.8,25.164268
32,6614117.8,25.02547
33,6614117.8,25.02547
34,6614117.8,25.02547
35,6598691.8,25.050825
36,6528162.8,25.067226
37,6528162.8,25.067226
38,6507857.8,25.064697
39,6483105.8,24.730265
40,6407604.4,24.416533
41,6398322.4,24.466972
42,6398322.4,24.466972
43,6382830.4,24.703123
44,6382830.4,24.703123
45,6382830.4,24.703123
46,6382830.4,24.703123
47,6353437.4,24.723917
48,6353437.4,24.723917
49,6336622.800000001,24.209597
50,6336622.800000001,24.209597
51,6408540.4,24.793243
52,6408540.4,24.793243
53,6380959.7,25.98252
54,6380959.7,25.98252
55,6380959.7,25.98252
56,6373571.4,25.926315
57,6373571.4,25.926315
58,6349105.7,25.718052
59,6349105.7,25.718052
60,6214758.9,26.619574
61,6214758.9,26.619574
62,6151512.300000001,26.184235
63,6135970.300000001,26.040262
64,6135970.300000001,26.040262
65,6135970.300000001,26.040262
66,6135970.300000001,26.040262
67,6114625.300000001,25.623394
68,6114625.300000001,25.623394
69,6114625.300000001,25.623394
70,6114625.300000001,25.623394
71,6114625.300000001,25.623394
72,6114625.300000001,25.623394
73,6114625.300000001,25.623394
74,6114625.300000001,25.623394
75,6114625.300000001,25.623394
76,6094057.300000001,25.70363
77,6077040.300000001,25.736065
78,6077040.300000001,25.736065
79,6077040.300000001,25.736065
80,6061570.300000001,25.656994
81,6061570.300000001,25.656994
82,6061570.300000001,25.656994
83,6061570.300000001,25.656994
84,6061570.300000001,25.656994
85,6061570.300000001,25.656994
86,6052288.300000001,25.607101
87,6052288.300000001,25.607101
88,6052288.300000001,25.607101
89,6047647.300000001,25.565977
90,6047647.300000001,25.565977
91,6047647.300000001,25.565977
92,6047647.300000001,25.565977
93,6047647.300000001,25.565977
94,6047647.300000001,25.565977
95,6047647.300000001,25.565977
96,6047647.300000001,25.565977
97,6047647.300000001,25.565977
98,6047647.300000001,25.565977
99,6047647.300000001,25.565977
100,6067758.300000001,25.574799
101,6353973.899999999,28.130224
102,6353973.899999999,28.130224
103,6217674.300000001,27.633287
104,6217674.300000001,27.633287
105,6203679.300000001,27.633287
106,6191951.800000001,27.095911
107,6191951.800000001,27.095911
108,6191951.800000001,27.095911
109,6191951.800000001,27.095911
110,6191951.800000001,27.095911
111,6191951.800000001,27.095911
112,6191951.800000001,27.095911
113,6191951.800000001,27.095911
114,6177956.800000001,27.095911
115,6177956.800000001,27.095911
116,6177956.800000001,27.095911
117,6177956.800000001,27.095911
118,6177956.800000001,27.095911
119,6177956.800000001,27.095911
120,6177956.800000001,27.095911
121,6177956.800000001,27.095911
122,6177956.800000001,27.095911
123,6155549.300000001,27.296312
124,6154590.9,27.10021
125,6154590.9,27.10021
126,6154590.9,27.10021
127,6149435.4,27.247276
128,6149435.4,27.247276
129,6149435.4,27.247276
130,6144794.4,27.227669
131,6144794.4,27.227669
132,6144794.4,27.227669
133,6140595.9,27.162817
134,6126600.9,27.162817
135,6112866.4,27.266819
136,6112866.4,27.266819
137,6112866.4,27.266819
138,6112866.4,27.266819
139,6098871.4,27.310734
140,6098871.4,27.310734
141,6098871.4,27.310734
142,6098871.4,27.310734
143,6098871.4,27.310734
144,6098871.4,27.310734
145,6098871.4,27.310734
146,6098871.4,27.310734
147,6098871.4,27.310734
148,6098871.4,27.310734
149,6098871.4,27.310734
150,6098871.4,27.310734
151,6108153.4,27.568151
152,6231746.9,28.59639
153,6231746.9,28.59639
154,6221993.9,28.869194
155,6221993.9,28.869194
156,6221993.9,28.869194
157,6221993.9,28.869194
158,6221993.9,28.869194
159,6221993.9,28.869194
160,6221993.9,28.869194
161,6218293.4,28.510895
162,6218293.4,28.510895
163,6218293.4,28.510895
164,6202741.4,28.723621
165,6202741.4,28.723621
166,6202741.4,28.723621
167,6200797.4,28.59639
168,6200797.4,28.59639
169,6200797.4,28.59639
170,6188462.4,28.74829
171,6188462.4,28.74829
172,6188462.4,28.74829
173,6188462.4,28.74829
174,6188462.4,28.74829
175,6188462.4,28.74829
176,6188462.4,28.74829
177,6188462.4,28.74829
178,6174893.9,28.753723
179,6174893.9,28.753723
180,6174893.9,28.753723
181,6174893.9,28.753723
182,6174893.9,28.753723
183,6174893.9,28.753723
184,6174893.9,28.753723
185,6174893.9,28.753723
186,6174893.9,28.753723
187,6174893.9,28.753723
188,6174893.9,28.753723
189,6174893.9,28.753723
190,6174893.9,28.753723
191,6174893.9,28.753723
192,6174893.9,28.753723
193,6174893.9,28.753723
194,6174893.9,28.753723
195,6174893.9,28.753723
196,6174893.9,28.753723
197,6174893.9,28.753723
198,6171193.4,28.689495
199,6171193.4,28.689495
200,6171193.4,28.689495
