gen,cost,min_pressure
0,6333820.5,-97.810646
1,6714539.5,-72.22082
2,7083512.0,-76.676735
3,7139689.5,-119.559586
4,5796617.3,-142.83199
5,6484137.199999999,-78.50833
6,6130366.5,-40.36433
7,6098295.5,-47.73134
8,6725198.600000001,-16.719742
9,6725198.600000001,-16.719742
10,6247436.5,-37.830173
11,6329871.3,-42.877857
12,6021834.6,-45.0375
13,6104025.1,-66.23009
14,6791929.2,-16.671633
15,6926064.2,-21.181871
16,6812774.2,-20.632536
17,6843163.7,-21.208614
18,6993447.699999999,-19.506561
19,7178344.699999999,-10.100341
20,6826235.7,-9.936065
21,7017842.1,-5.316416
22,7047307.1,-4.570513
23,7201844.4,-9.71222
24,6931392.0,15.474697
25,6789079.3,15.484409
26,6789079.3,15.484409
27,6789079.3,15.484409
28,6789079.3,15.484409
29,6789079.3,15.484409
30,6789079.3,15.484409
31,6789079.3,15.484409
32,6789079.3,15.484409
33,6789079.3,15.484409
34,6745883.4,18.217833
35,6634384.1,15.156909
36,6487428.9,17.74266
37,6487428.9,17.74266
38,6320423.199999999,15.358453
39,6276704.2,15.698773
40,6276704.2,15.698773
41,6249541.8,18.356611
42,6216693.1,15.938987
43,6216693.1,15.938987
44,6216693.1,15.938987
45,6206076.6,16.086689
46,6133887.6,21.068735
47,6098388.899999999,16.69962
48,6098388.899999999,16.69962
49,6098388.899999999,16.69962
50,6063978.1,15.58081
51,6063978.1,15.58081
52,6063978.1,15.58081
53,6063978.1,15.58081
54,6032865.2,15.241222
55,6032865.2,15.241222
56,6032865.2,15.241222
57,6032865.2,15.241222
58,6032865.2,15.241222
59,5964847.0,16.091148
60,5959472.7,15.408883
61,5959472.7,15.408883
62,5959472.7,15.408883
63,5920915.5,16.63777
64,5920915.5,16.63777
65,5920915.5,16.63777
66,5920915.5,16.63777
67,5920915.5,16.63777
68,5920915.5,16.63777
69,5920915.5,16.63777
70,5920915.5,16.63777
71,5920915.5,16.63777
72,5920915.5,16.63777
73,5920465.2,15.33948
74,5916320.5,15.446882
75,5849980.2,16.353476
76,5849980.2,16.353476
77,5849980.2,16.353476
78,5790620.2,9.247656
79,5863975.2,16.714493
80,5811726.6,15.708106
81,5811726.6,15.708106
82,5746465.899999999,15.738395
83,5746465.899999999,15.738395
84,5746465.899999999,15.738395
85,5746465.899999999,15.738395
86,5746465.899999999,15.738395
87,5746465.899999999,15.738395
88,5746465.899999999,15.738395
89,5746465.899999999,15.738395
90,5746465.899999999,15.738395
91,5746465.899999999,15.738395
92,5746465.899999999,15.738395
93,5746465.899999999,15.738395
94,5746465.899999999,15.738395
95,5746465.899999999,15.738395
96,5746465.899999999,15.738395
97,5705375.899999999,16.460821
98,5705375.899999999,16.460821
99,5705375.899999999,16.460821
100,5705375.899999999,16.460821
101,5705375.899999999,16.460821
102,5705375.899999999,16.460821
103,5705375.899999999,16.460821
104,5705375.899999999,16.460821
105,5705375.899999999,16.460821
106,5705375.899999999,16.460821
107,5702395.1,17.60564
108,5702395.1,17.60564
109,5665675.6,15.88752
110,5665675.6,15.88752
111,5665675.6,15.88752
112,5638066.1,15.447361
113,5638066.1,15.447361
114,5615608.1,15.057611
115,5615608.1,15.057611
116,5615608.1,15.057611
117,5615608.1,15.057611
118,5615608.1,15.057611
119,5615608.1,15.057611
120,5615608.1,15.057611
121,5615608.1,15.057611
122,5576050.1,15.69461
123,5576050.1,15.69461
124,5576050.1,15.69461
125,5576050.1,15.69461
126,5576050.1,15.69461
127,5576050.1,15.69461
128,5576050.1,15.69461
129,5576050.1,15.69461
130,5576050.1,15.69461
131,5576050.1,15.69461
132,5576050.1,15.69461
133,5576050.1,15.69461
134,5576050.1,15.69461
135,5576050.1,15.69461
136,5576050.1,15.69461
137,5576050.1,15.69461
138,5576050.1,15.69461
139,5576050.1,15.69461
140,5576050.1,15.69461
141,5576050.1,15.69461
142,5576050.1,15.69461
143,5576050.1,15.69461
144,5576050.1,15.69461
145,5576050.1,15.69461
146,5576050.1,15.69461
147,5571586.6,15.528196
148,5571586.6,15.528196
149,5571586.6,15.528196
