Pipe ID,Start Node,End Node,Diameter (inch),Length,Cost
1,1,2,40.0,100.0,27827.999999999996
2,2,3,40.0,1350.0,375677.99999999994
3,3,4,40.0,900.0,250451.99999999997
4,4,5,40.0,1150.0,320021.99999999994
5,5,6,40.0,1450.0,403505.99999999994
6,6,7,40.0,450.0,125225.99999999999
7,7,8,40.0,850.0,236537.99999999997
8,8,9,30.0,850.0,153637.5
9,9,10,30.0,800.0,144600.0
10,10,11,30.0,950.0,171712.5
11,11,12,24.0,1200.0,155196.00000000003
12,12,13,20.0,3500.0,344365.0
13,10,14,20.0,800.0,78712.0
14,14,15,24.0,500.0,64665.00000000001
15,15,16,30.0,550.0,99412.5
16,17,16,40.0,2730.0,759704.3999999999
17,18,17,40.0,1750.0,486989.99999999994
18,19,18,40.0,800.0,222623.99999999997
19,3,19,40.0,400.0,111311.99999999999
20,3,20,40.0,2200.0,612215.9999999999
21,20,21,24.0,1500.0,193995.00000000003
22,21,22,16.0,500.0,35200.0
23,20,23,40.0,2650.0,737441.9999999999
24,23,24,24.0,1230.0,159075.90000000002
25,24,25,16.0,1300.0,91520.00000000001
26,26,25,16.0,850.0,59840.00000000001
27,27,26,24.0,300.0,38799.00000000001
28,16,27,30.0,750.0,135562.5
29,23,28,20.0,1500.0,147585.0
30,28,29,16.0,2000.0,140800.0
31,29,30,12.0,1600.0,73168.0
32,30,31,12.0,150.0,6859.499999999999
33,32,31,12.0,860.0,39327.799999999996
34,25,32,20.0,950.0,93470.5
