gen,cost
0,10.9697976
1,10.9697976
2,10.9697976
3,10.9697976
4,10.9697976
5,8.847544800000001
6,8.847544800000001
7,8.847544800000001
8,8.847544800000001
9,8.847544800000001
10,8.207439599999999
11,8.207439599999999
12,8.207439599999999
13,8.207439599999999
14,8.207439599999999
15,7.6780222
16,7.6780222
17,7.6780222
18,7.6780222
19,7.6780222
20,7.3735838
21,7.3735838
22,7.3735838
23,7.3735838
24,7.3735838
25,7.1548614
26,7.1548614
27,7.1548614
28,7.1548614
29,7.1548614
30,7.0873629
31,7.0873629
32,7.0873629
33,7.0873629
34,7.0873629
35,7.0610639
36,7.0610639
37,7.0610639
38,7.0610639
39,7.0610639
40,7.0610639
41,7.0610639
42,7.0610639
43,7.0610639
44,7.0610639
45,7.0610639
46,7.0610639
47,7.0610639
48,7.0610639
49,7.0610639
50,7.0610639
51,7.0610639
52,7.0610639
53,7.0610639
54,7.0610639
55,7.0610639
56,7.0610639
57,7.0610639
58,7.0610639
59,7.0610639
60,7.0610639
61,7.0610639
62,7.0610639
63,7.0610639
64,7.0610639
65,7.0610639
66,7.0610639
67,7.0610639
68,7.0610639
69,7.0610639
70,7.0610639
71,7.0610639
72,7.0610639
73,7.0610639
74,7.0610639
75,7.0610639
76,7.0610639
77,7.0610639
78,7.0610639
79,7.0610639
80,7.0610639
81,7.0610639
82,7.0610639
83,7.0610639
84,7.0610639
85,7.0610639
86,7.0610639
87,7.0610639
88,7.0610639
89,7.0610639
90,7.0610639
91,7.0610639
92,7.0610639
93,7.0610639
94,7.0610639
95,7.0610639
96,7.0610639
97,7.0610639
98,7.0610639
99,7.0610639
100,7.0610639
101,7.0610639
102,7.0610639
103,7.0610639
104,7.0610639
105,7.0610639
106,7.0610639
107,7.0610639
108,7.0610639
109,7.0610639
110,7.0610639
111,7.0610639
112,7.0610639
113,7.0610639
114,7.0610639
115,7.0610639
116,7.0610639
117,7.0610639
118,7.0610639
119,7.0610639
120,7.0610639
121,7.0610639
122,7.0610639
123,7.0610639
124,7.0610639
125,7.0610639
126,7.0610639
127,7.0610639
128,7.0610639
129,7.0610639
130,7.0610639
131,7.0610639
132,7.0610639
133,7.0610639
134,7.0610639
135,7.0610639
