Generation,Min Cost (M$),Pressure (m),Tol (m)
0,2732.657471,-220.6488,5.00
1,2732.657471,-220.6488,4.94
2,2732.657471,-220.6488,4.88
3,2732.657471,-220.6488,4.82
4,2732.657471,-220.6488,4.76
5,2732.657471,-220.6488,4.71
6,2732.657471,-220.6488,4.65
7,2732.657471,-220.6488,4.59
8,2732.657471,-220.6488,4.53
9,2732.657471,-220.6488,4.47
10,2732.657471,-220.6488,4.41
11,2732.657471,-220.6488,4.35
12,2732.657471,-220.6488,4.29
13,2732.657471,-220.6488,4.24
14,2732.657471,-220.6488,4.18
15,2732.657471,-220.6488,4.12
16,2732.657471,-220.6488,4.06
17,2732.657471,-220.6488,4.00
18,2732.657471,-220.6488,3.94
19,2732.657471,-220.6488,3.88
20,2732.657471,-220.6488,3.82
21,2732.657471,-220.6488,3.76
22,7.463756,34.3913,3.71
23,7.463756,34.3913,3.65
24,7.463756,34.3913,3.59
25,7.463756,34.3913,3.53
26,7.463756,34.3913,3.47
27,7.463756,34.3913,3.41
28,7.463756,34.3913,3.35
29,7.463756,34.3913,3.29
30,7.463756,34.3913,3.24
31,7.100848,34.3071,3.18
32,7.100848,34.3071,3.12
33,7.100848,34.3071,3.06
34,7.100848,34.3071,3.00
35,7.100848,34.3071,2.94
36,7.100848,34.3071,2.88
37,7.100848,34.3071,2.82
38,7.100848,34.3071,2.76
39,7.100848,34.3071,2.71
40,6.150754,30.0664,2.65
41,6.150754,30.0664,2.59
42,6.150754,30.0664,2.53
43,6.150754,30.0664,2.47
44,6.150754,30.0664,2.41
45,6.150754,30.0664,2.35
46,6.150754,30.0664,2.29
47,6.150754,30.0664,2.24
48,6.150754,30.0664,2.18
49,6.150754,30.0664,2.12
50,6.150754,30.0664,2.06
51,6.150754,30.0664,2.00
52,6.150754,30.0664,1.94
53,6.150754,30.0664,1.88
54,6.150754,30.0664,1.82
55,6.150754,30.0664,1.76
56,6.150754,30.0664,1.71
57,6.150754,30.0664,1.65
58,6.150754,30.0664,1.59
59,6.150754,30.0664,1.53
60,6.150754,30.0664,1.47
61,6.150754,30.0664,1.41
62,6.150754,30.0664,1.35
63,6.150754,30.0664,1.29
64,6.150754,30.0664,1.24
65,6.150754,30.0664,1.18
66,6.150754,30.0664,1.12
67,6.150754,30.0664,1.06
68,6.150754,30.0664,1.00
69,6.150754,30.0664,0.94
70,6.150754,30.0664,0.88
71,6.150754,30.0664,0.82
72,6.150754,30.0664,0.76
73,6.150754,30.0664,0.71
74,6.150754,30.0664,0.65
75,6.150754,30.0664,0.59
76,6.150754,30.0664,0.53
77,6.150754,30.0664,0.47
78,6.150754,30.0664,0.41
79,6.150754,30.0664,0.35
80,6.150754,30.0664,0.29
81,6.150754,30.0664,0.24
82,6.150754,30.0664,0.18
83,6.150754,30.0664,0.12
84,6.150754,30.0664,0.06
85,6.150754,30.0664,0.00
86,6.150754,30.0664,0.00
87,6.150754,30.0664,0.00
88,6.150754,30.0664,0.00
89,6.150754,30.0664,0.00
90,6.150754,30.0664,0.00
91,6.150754,30.0664,0.00
92,6.150754,30.0664,0.00
93,6.150754,30.0664,0.00
94,6.150754,30.0664,0.00
95,6.150754,30.0664,0.00
96,6.150754,30.0664,0.00
97,6.150754,30.0664,0.00
98,6.150754,30.0664,0.00
99,6.150754,30.0664,0.00
