Generation,Min Cost (M$),Best Min Pressure (m)
0,267.403137,-203.3170
1,252.743988,-176.1550
2,229.985931,-171.9487
3,229.985931,-171.9487
4,166.433502,-124.6155
5,103.900543,-86.7673
6,71.782715,-60.9670
7,71.782715,-60.9670
8,67.892792,-42.3498
9,21.823715,18.0266
10,19.829300,15.3717
11,19.829300,15.3717
12,19.829300,15.3717
13,14.316980,-8.7607
14,9.017492,24.8501
15,8.480262,26.1215
16,8.480262,26.1215
17,8.480262,26.1215
18,8.080975,28.8198
19,7.376101,27.1226
20,7.376101,27.1226
21,7.376101,27.1226
22,7.376101,27.1226
23,7.239259,31.6980
24,7.179140,31.0327
25,7.179140,31.0327
26,7.179140,31.0327
27,7.179140,31.0327
28,7.179140,31.0327
29,7.152164,31.4179
30,7.070096,32.2054
31,7.012606,30.5538
32,6.984239,31.9563
33,6.942302,31.2932
34,6.851223,31.5702
35,6.826995,30.0573
36,6.804574,31.0970
37,6.801008,32.0790
38,6.781783,31.1016
39,6.766432,31.0321
40,6.766432,31.0321
41,6.766432,31.0321
42,6.685471,30.6454
43,6.659420,30.5721
44,6.651948,30.3486
45,6.651948,30.3486
46,6.651948,30.3486
47,6.651948,30.3486
48,6.593814,30.9744
49,6.552329,30.8265
50,6.552329,30.8265
51,6.552329,30.8265
52,6.552329,30.8265
53,6.537799,30.5507
54,6.534513,30.5208
55,6.505472,30.8813
56,6.500759,30.3815
57,6.500759,30.3815
58,6.443602,30.3313
59,6.431130,30.7602
60,6.393268,30.5120
61,6.393268,30.5120
62,6.393268,30.5120
63,6.393268,30.5120
64,6.393268,30.5120
65,6.393268,30.5120
66,6.393268,30.5120
67,6.393268,30.5120
68,6.362290,30.6187
69,6.362290,30.6187
70,6.362290,30.6187
71,6.362290,30.6187
72,6.349741,30.1176
73,6.349741,30.1176
74,6.349741,30.1176
75,6.349741,30.1176
76,6.349741,30.1176
77,6.349741,30.1176
78,6.320348,30.1348
79,6.320348,30.1348
80,6.320348,30.1348
81,6.320348,30.1348
82,6.315938,30.1882
83,6.315938,30.1882
84,6.315938,30.1882
85,6.301943,30.1882
86,6.301943,30.1882
87,6.301943,30.1882
88,6.301943,30.1882
89,6.301943,30.1882
90,6.301943,30.1882
91,6.301943,30.1882
92,6.301943,30.1882
93,6.301943,30.1882
94,6.301943,30.1882
95,6.301943,30.1882
96,6.301943,30.1882
97,6.301943,30.1882
98,6.301943,30.1882
99,6.287948,30.0719
100,6.287948,30.0719
101,6.287948,30.0719
102,6.287948,30.0719
103,6.287948,30.0719
104,6.287948,30.0719
105,6.287948,30.0719
106,6.287948,30.0719
107,6.287948,30.0719
108,6.287948,30.0719
109,6.287948,30.0719
110,6.287948,30.0719
111,6.287948,30.0719
112,6.287948,30.0719
113,6.287948,30.0719
114,6.287948,30.0719
115,6.287948,30.0719
116,6.287948,30.0719
117,6.287948,30.0719
118,6.287948,30.0719
119,6.287948,30.0719
120,6.287948,30.0719
121,6.287948,30.0719
122,6.287948,30.0719
123,6.287948,30.0719
124,6.287948,30.0719
125,6.275613,30.0719
126,6.275613,30.0719
127,6.275613,30.0719
128,6.275613,30.0719
129,6.275613,30.0719
130,6.275613,30.0719
131,6.275613,30.0719
132,6.275613,30.0719
133,6.275613,30.0719
134,6.275613,30.0719
135,6.275613,30.0719
136,6.275613,30.0719
137,6.275613,30.0719
138,6.275613,30.0719
139,6.275613,30.0719
