Generation,Min Cost (M$),Pressure (m),Tol (m)
0,2584.372559,-168.5440,5.00
1,2584.372559,-168.5440,4.94
2,2584.372559,-168.5440,4.88
3,2584.372559,-168.5440,4.82
4,2584.372559,-168.5440,4.76
5,2584.372559,-168.5440,4.71
6,2584.372559,-168.5440,4.65
7,2584.372559,-168.5440,4.59
8,2584.372559,-168.5440,4.53
9,2584.372559,-168.5440,4.47
10,2584.372559,-168.5440,4.41
11,2584.372559,-168.5440,4.35
12,2584.372559,-168.5440,4.29
13,2584.372559,-168.5440,4.24
14,2584.372559,-168.5440,4.18
15,2584.372559,-168.5440,4.12
16,2584.372559,-168.5440,4.06
17,2584.372559,-168.5440,4.00
18,2584.372559,-168.5440,3.94
19,2584.372559,-168.5440,3.88
20,2584.372559,-168.5440,3.82
21,2584.372559,-168.5440,3.76
22,2584.372559,-168.5440,3.71
23,2584.372559,-168.5440,3.65
24,7.581513,30.2024,3.59
25,7.581513,30.2024,3.53
26,7.581513,30.2024,3.47
27,7.581513,30.2024,3.41
28,7.581513,30.2024,3.35
29,7.409059,31.6514,3.29
30,7.409059,31.6514,3.24
31,7.409059,31.6514,3.18
32,7.409059,31.6514,3.12
33,7.409059,31.6514,3.06
34,7.409059,31.6514,3.00
35,7.409059,31.6514,2.94
36,7.409059,31.6514,2.88
37,7.409059,31.6514,2.82
38,7.409059,31.6514,2.76
39,7.409059,31.6514,2.71
40,6.859393,30.0021,2.65
41,6.859393,30.0021,2.59
42,6.859393,30.0021,2.53
43,6.859393,30.0021,2.47
44,6.859393,30.0021,2.41
45,6.859393,30.0021,2.35
46,6.859393,30.0021,2.29
47,6.859393,30.0021,2.24
48,6.859393,30.0021,2.18
49,6.859393,30.0021,2.12
50,6.859393,30.0021,2.06
51,6.859393,30.0021,2.00
52,6.850107,30.7985,1.94
53,6.850107,30.7985,1.88
54,6.850107,30.7985,1.82
55,6.850107,30.7985,1.76
56,6.850107,30.7985,1.71
57,6.850107,30.7985,1.65
58,6.832778,31.3599,1.59
59,6.832778,31.3599,1.53
60,6.736492,30.1436,1.47
61,6.699553,30.6209,1.41
62,6.690746,30.0062,1.35
63,6.690746,30.0062,1.29
64,6.690746,30.0062,1.24
65,6.690746,30.0062,1.18
66,6.690746,30.0062,1.12
67,6.624096,31.2194,1.06
68,6.624096,31.2194,1.00
69,6.621991,30.0139,0.94
70,6.614192,31.6386,0.88
71,6.614192,31.6386,0.82
72,6.614192,31.6386,0.76
73,6.614192,31.6386,0.71
74,6.614192,31.6386,0.65
75,6.614192,31.6386,0.59
76,6.614192,31.6386,0.53
77,6.614192,31.6386,0.47
78,6.614192,31.6386,0.41
79,6.614192,31.6386,0.35
80,6.379379,30.0896,0.29
81,6.379379,30.0896,0.24
82,6.379379,30.0896,0.18
83,6.379379,30.0896,0.12
84,6.379379,30.0896,0.06
85,6.379379,30.0896,0.00
86,6.379379,30.0896,0.00
87,6.379379,30.0896,0.00
88,6.379379,30.0896,0.00
89,6.379379,30.0896,0.00
90,6.379379,30.0896,0.00
91,6.379379,30.0896,0.00
92,6.379379,30.0896,0.00
93,6.379379,30.0896,0.00
94,6.379379,30.0896,0.00
95,6.379379,30.0896,0.00
96,6.379379,30.0896,0.00
97,6.379379,30.0896,0.00
98,6.379379,30.0896,0.00
99,6.379379,30.0896,0.00
