Generation,Min Cost (M$),Pressure (m),Tol (m)
0,2754.179688,-142.2769,0.00
1,2754.179688,-142.2769,0.00
2,2754.179688,-142.2769,0.00
3,2754.179688,-142.2769,0.00
4,2754.179688,-142.2769,0.00
5,2754.179688,-142.2769,0.00
6,2754.179688,-142.2769,0.00
7,2754.179688,-142.2769,0.00
8,2754.179688,-142.2769,0.00
9,2754.179688,-142.2769,0.00
10,2754.179688,-142.2769,0.00
11,2754.179688,-142.2769,0.00
12,2754.179688,-142.2769,0.00
13,2754.179688,-142.2769,0.00
14,2754.179688,-142.2769,0.00
15,2754.179688,-142.2769,0.00
16,2754.179688,-142.2769,0.00
17,2754.179688,-142.2769,0.00
18,7.720388,31.2254,0.00
19,7.720388,31.2254,0.00
20,6.894527,30.1989,0.00
21,6.894527,30.1989,0.00
22,6.894527,30.1989,0.00
23,6.894527,30.1989,0.00
24,6.894527,30.1989,0.00
25,6.894527,30.1989,0.00
26,6.894527,30.1989,0.00
27,6.894527,30.1989,0.00
28,6.894527,30.1989,0.00
29,6.894527,30.1989,0.00
30,6.894527,30.1989,0.00
31,6.894527,30.1989,0.00
32,6.894527,30.1989,0.00
33,6.894527,30.1989,0.00
34,6.894527,30.1989,0.00
35,6.877685,30.6490,0.00
36,6.877685,30.6490,0.00
37,6.877685,30.6490,0.00
38,6.868256,31.8130,0.00
39,6.868256,31.8130,0.00
40,6.485189,30.0874,0.00
41,6.485189,30.0874,0.00
42,6.485189,30.0874,0.00
43,6.485189,30.0874,0.00
44,6.485189,30.0874,0.00
45,6.485189,30.0874,0.00
46,6.485189,30.0874,0.00
47,6.485189,30.0874,0.00
48,6.485189,30.0874,0.00
49,6.485189,30.0874,0.00
50,6.485189,30.0874,0.00
51,6.485189,30.0874,0.00
52,6.485189,30.0874,0.00
53,6.485189,30.0874,0.00
54,6.485189,30.0874,0.00
55,6.485189,30.0874,0.00
56,6.485189,30.0874,0.00
57,6.485189,30.0874,0.00
58,6.485189,30.0874,0.00
59,6.485189,30.0874,0.00
60,6.485189,30.0874,0.00
61,6.485189,30.0874,0.00
62,6.485189,30.0874,0.00
63,6.485189,30.0874,0.00
64,6.485189,30.0874,0.00
65,6.485189,30.0874,0.00
66,6.485189,30.0874,0.00
67,6.485189,30.0874,0.00
68,6.485189,30.0874,0.00
69,6.485189,30.0874,0.00
70,6.485189,30.0874,0.00
71,6.485189,30.0874,0.00
72,6.485189,30.0874,0.00
73,6.485189,30.0874,0.00
74,6.485189,30.0874,0.00
75,6.485189,30.0874,0.00
76,6.485189,30.0874,0.00
77,6.485189,30.0874,0.00
78,6.485189,30.0874,0.00
79,6.485189,30.0874,0.00
80,6.485189,30.0874,0.00
81,6.485189,30.0874,0.00
82,6.485189,30.0874,0.00
83,6.485189,30.0874,0.00
84,6.485189,30.0874,0.00
85,6.485189,30.0874,0.00
86,6.469533,30.0351,0.00
87,6.469533,30.0351,0.00
88,6.463393,30.2321,0.00
89,6.463393,30.2321,0.00
90,6.463393,30.2321,0.00
91,6.463393,30.2321,0.00
92,6.463393,30.2321,0.00
93,6.461792,30.0118,0.00
94,6.461792,30.0118,0.00
95,6.457216,30.1404,0.00
96,6.457216,30.1404,0.00
97,6.438199,30.0112,0.00
98,6.438199,30.0112,0.00
99,6.438199,30.0112,0.00
