Generation,Min Cost (M$),Avg Cost (M$)
0,11.894731,55.716419
1,8.422725,48.432568
2,9.827540,43.268902
3,10.099844,36.610821
4,7.926935,26.423483
5,8.895433,19.465040
6,7.895987,15.379263
7,7.686957,13.246409
8,6.823985,12.306250
9,6.602898,11.722012
10,6.607043,12.601079
11,6.549812,13.930381
12,6.549812,12.581580
13,6.434431,8.448184
14,6.420279,7.346249
15,6.335756,6.749649
16,6.311139,7.645555
17,6.264312,12.058136
18,6.142634,8.736328
19,6.142634,8.115806
20,6.114849,8.981831
21,6.089098,9.880182
22,6.041702,8.027574
23,5.998722,6.376469
24,5.925575,9.220271
25,5.925575,6.236552
26,5.884144,7.959726
27,5.881259,6.304400
28,5.880890,6.126225
29,5.857751,6.503996
30,5.857751,12.335932
31,5.857751,13.620136
32,5.857751,10.919613
33,5.857751,13.303809
34,5.857751,9.928779
35,5.790401,6.721649
36,5.790401,15.521726
37,5.790401,11.537970
38,5.790401,18.308290
39,5.790401,10.925937
40,5.790401,21.141685
41,5.790401,9.998393
42,5.790401,6.452992
43,5.766610,18.040911
44,5.766610,6.946213
45,5.745539,6.120449
46,5.745539,8.569269
47,5.721747,7.676010
48,5.721747,6.093664
49,5.721747,8.470417
50,5.721747,10.979738
51,5.721747,11.229555
52,5.721747,8.073718
53,5.721747,16.680101
54,5.721747,15.683843
55,5.721747,12.721998
56,5.721747,6.031821
57,5.721747,7.707300
58,5.684127,32.909852
59,5.684127,14.170235
60,5.684127,8.875410
61,5.684127,5.909388
62,5.674845,12.796701
63,5.674845,8.550573
64,5.674845,17.543266
65,5.674845,20.934729
66,5.674845,13.461597
67,5.674845,21.230342
68,5.674845,5.769332
69,5.674845,5.854057
70,5.674845,19.715830
71,5.674845,14.761737
72,5.674845,9.335485
73,5.674845,15.279901
74,5.674845,38.259071
75,5.674845,27.272326
76,5.674845,9.419232
77,5.674845,25.016752
78,5.674845,24.867238
79,5.674845,36.703156
80,5.674845,6.460410
81,5.674845,7.173173
82,5.674845,9.087610
83,5.674845,7.197721
84,5.674845,6.810152
85,5.674845,7.381770
86,5.674845,21.786374
87,5.674845,51.096017
88,5.659375,23.552186
89,5.659375,21.011268
90,5.659375,27.437832
91,5.659375,50.904221
92,5.659375,29.032608
93,5.659375,10.910181
94,5.659375,5.882810
95,5.659375,9.992250
96,5.659375,12.713265
97,5.659375,11.571105
98,5.659375,7.245406
99,5.659375,34.630411
