Generation,Min Cost (M$),Avg Cost (M$)
0,1003.761187,1004.964737
1,1003.755016,1004.387293
2,1003.214431,1004.093990
3,1003.106702,1003.845186
4,1003.044652,1003.633569
5,1002.927057,1003.469822
6,1002.927057,1003.291123
7,1002.744868,1003.109271
8,1002.773578,1003.010043
9,1002.721431,1002.922333
10,1002.567146,1002.876952
11,1002.582114,1002.796912
12,1002.499531,1002.717628
13,1002.497387,1002.653005
14,1002.466635,1002.612128
15,1002.333446,1002.558521
16,1002.324338,1002.487287
17,1002.277465,1002.432621
18,1002.277465,1002.365379
19,1002.230072,1002.341857
20,1002.230072,1002.297447
21,1002.194300,1002.272747
22,1002.164696,1002.262797
23,1002.128925,1002.235010
24,1002.144960,1002.224128
25,1002.128925,1002.221334
26,1002.109188,1002.174942
27,1002.109188,1002.173901
28,1001.992862,1002.144400
29,1001.992862,1002.119192
30,1001.992862,1002.102701
31,1001.992862,1002.078242
32,1001.963899,1002.033679
33,1001.963899,1002.011590
34,1001.963899,1002.020815
35,1001.963899,1002.002356
36,1001.963899,1002.002160
37,1001.926894,1001.989134
38,1001.924426,1001.983899
39,1001.906454,1001.964951
40,1001.906454,1001.948845
41,1001.906454,1001.944231
42,1001.903987,1001.947949
43,1001.903987,1001.928486
44,1001.903987,1001.922993
45,1001.903987,1001.911704
46,1001.903987,1001.925719
47,1001.903987,1001.920866
48,1001.903987,1001.907731
49,1001.903987,1001.926414
50,1001.903987,1001.912916
51,1001.892886,1001.919568
52,1001.885485,1001.924460
53,1001.885485,1001.920593
54,1001.874384,1001.916698
55,1001.874384,1001.911299
56,1001.874384,1001.911090
57,1001.874384,1001.892193
58,1001.874384,1001.888009
59,1001.874384,1001.886066
60,1001.874384,1001.885240
61,1001.874384,1001.883757
62,1001.859913,1001.891031
63,1001.854648,1001.891469
64,1001.854648,1001.891780
65,1001.846748,1001.882905
66,1001.846748,1001.879782
67,1001.846748,1001.881340
68,1001.846748,1001.872109
69,1001.846748,1001.855302
70,1001.846748,1001.871697
71,1001.846748,1001.867468
72,1001.846748,1001.869905
73,1001.846748,1001.863726
74,1001.846748,1001.867500
75,1001.846748,1001.868349
76,1001.846748,1001.857729
77,1001.846748,1001.874626
78,1001.846748,1001.866530
79,1001.846748,1001.863727
80,1001.846748,1001.859603
81,1001.846748,1001.862583
82,1001.846748,1001.855562
83,1001.846748,1001.867429
84,1001.846748,1001.858083
85,1001.842169,1001.864971
86,1001.846748,1001.866042
87,1001.830950,1001.858205
88,1001.830950,1001.866690
89,1001.830950,1001.862193
90,1001.830950,1001.860865
91,1001.830950,1001.851087
92,1001.830950,1001.848419
93,1001.830950,1001.845792
94,1001.830950,1001.844671
95,1001.830950,1001.854741
96,1001.830950,1001.841304
97,1001.830950,1001.863323
98,1001.830950,1001.849988
99,1001.830950,1001.834584
