Generation,Min Cost (M$),Avg Cost (M$)
0,74488.250000,461586.406250
1,58612.335938,232414.093750
2,46984.777344,150642.671875
3,47680.089844,95998.359375
4,44223.304688,75326.765625
5,31722.552734,63344.843750
6,27156.996094,52028.187500
7,22886.673828,43962.343750
8,16491.982422,35221.125000
9,13586.539062,30763.888672
10,6319.150391,25679.044922
11,3420.372559,18806.074219
12,3420.372559,12849.547852
13,3420.372559,8600.949219
14,3317.510742,5613.801270
15,2420.277588,5816.143066
16,2640.611572,4499.433105
17,2551.134277,3507.397949
18,620.437378,4261.369629
19,1169.617676,3215.469727
20,1169.617676,3855.337402
21,559.924072,3370.615723
22,494.501740,1898.858765
23,7.663388,4617.599154
24,7.223959,1661.171681
25,7.404726,804.132346
26,7.182493,2571.636636
27,7.154490,4496.976455
28,6.723177,3478.425654
29,6.764313,1454.461814
30,6.723177,507.673461
31,6.658487,1674.363837
32,6.658487,499.960131
33,6.658487,439.303302
34,6.303419,404.309079
35,6.559547,511.601904
36,6.528719,1209.113740
37,6.505580,293.007599
38,6.429780,287.668415
39,6.406641,109.407274
40,6.369021,813.387217
41,6.368220,5095.836980
42,6.354391,12.839488
43,6.354391,1596.014488
44,6.353590,3737.193774
45,6.339762,4078.013818
46,6.325132,6265.381246
47,6.325132,2662.591880
48,6.309630,865.239487
49,6.301341,1319.234592
50,6.280371,101.038947
51,6.110611,3316.091002
52,6.110611,429.583710
53,6.110611,4253.329674
54,6.110611,440.438254
55,6.110611,1967.253367
56,6.110611,157.613068
57,6.043379,2183.561645
58,6.043379,2004.952410
59,5.969108,2455.910906
60,5.969108,3675.020432
61,5.969108,1204.879472
62,5.910624,5227.900274
63,5.910624,2780.196260
64,5.910624,1955.131408
65,5.910624,2336.737793
66,5.836149,204.630823
67,5.836149,52.866215
68,5.836149,1167.443200
69,5.836149,1950.070784
70,5.716989,546.024398
71,5.716989,2682.156178
72,5.716989,2181.287725
73,5.716989,2715.839886
74,5.716989,410.967858
75,5.716989,26.112009
76,5.716989,2334.169718
77,5.661612,499.075566
78,5.661612,3204.088372
79,5.661612,1161.042625
80,5.661612,188.743495
81,5.661612,2869.650509
82,5.636860,18.351196
83,5.636860,505.850027
84,5.636860,1719.810620
85,5.636860,1728.785602
86,5.636860,2243.939165
87,5.636860,3852.379768
88,5.636860,2407.858669
89,5.636860,2644.418493
90,5.636860,160.109533
91,5.624484,652.259531
92,5.610530,3506.278756
93,5.610530,194.180970
94,5.610530,440.948953
95,5.610530,134.698450
96,5.610530,4059.952489
97,5.610530,274.893147
98,5.595104,991.079551
99,5.595104,1093.549129
