Generation,Min Cost (M$),Best Min Pressure (m)
0,3139.361084,-132.9923
1,3139.361084,-132.9923
2,1209.008545,-179.6833
3,1054.718872,-128.0035
4,514.584717,-58.2161
5,138.452179,-19.2929
6,138.452179,-19.2929
7,95.021111,-14.3346
8,67.563942,-6.7279
9,52.552734,11.8474
10,47.219955,13.3326
11,47.219955,13.3326
12,31.274464,25.2093
13,8.043726,30.6856
14,8.043726,30.6856
15,7.890982,34.3314
16,7.635940,33.5187
17,7.586663,32.0646
18,7.586663,32.0646
19,7.542956,30.1301
20,7.542956,30.1301
21,7.485262,32.6836
22,7.411749,34.9957
23,7.214201,34.3960
24,7.214201,34.3960
25,7.074849,31.6106
26,7.074849,31.6106
27,7.074849,31.6106
28,7.032675,31.6974
29,6.970041,31.3590
30,6.961508,30.0578
31,6.931871,32.2568
32,6.931871,32.2568
33,6.786835,30.6664
34,6.786835,30.6664
35,6.786835,30.6664
36,6.763940,30.6386
37,6.763940,30.6386
38,6.747657,31.5817
39,6.739632,30.8620
40,6.683350,30.5325
41,6.683350,30.5325
42,6.683350,30.5325
43,6.683350,30.5325
44,6.668075,30.1571
45,6.660619,30.2489
46,6.615294,31.1888
47,6.615294,31.1888
48,6.615294,31.1888
49,6.615294,31.1888
50,6.615294,31.1888
51,6.615294,31.1888
52,6.611903,31.0525
53,6.607720,30.1833
54,6.607720,30.1833
55,6.567012,30.4254
56,6.567012,30.4254
57,6.567012,30.4254
58,6.567012,30.4254
59,6.567012,30.4254
60,6.567012,30.4254
61,6.567012,30.4254
62,6.516594,30.4134
63,6.511953,30.4141
64,6.511953,30.4141
65,6.511953,30.4141
66,6.505357,30.5132
67,6.505357,30.5132
68,6.505357,30.5132
69,6.496075,30.5115
70,6.479473,30.1784
71,6.453143,30.1784
72,6.453143,30.1784
73,6.453143,30.1784
74,6.441061,30.5713
75,6.441061,30.5713
76,6.430733,30.1818
77,6.411084,30.3055
78,6.411084,30.3055
79,6.384785,30.1680
80,6.384785,30.1680
81,6.384785,30.1680
82,6.384785,30.1680
83,6.384785,30.1680
84,6.384785,30.1680
85,6.384785,30.1680
86,6.367987,30.1841
87,6.367987,30.1841
88,6.359590,30.1845
89,6.351978,30.1069
90,6.351978,30.1069
91,6.351978,30.1069
92,6.351978,30.1069
93,6.311535,30.1269
94,6.307337,30.0211
95,6.307337,30.0211
96,6.289658,30.0173
97,6.289658,30.0173
98,6.289658,30.0173
99,6.289658,30.0173
100,6.289658,30.0173
101,6.289658,30.0173
102,6.289658,30.0173
103,6.289658,30.0173
104,6.289658,30.0173
105,6.289658,30.0173
106,6.289658,30.0173
107,6.289658,30.0173
108,6.289658,30.0173
109,6.274120,30.0216
110,6.274120,30.0216
111,6.274120,30.0216
112,6.274120,30.0216
113,6.274120,30.0216
114,6.274120,30.0216
115,6.274120,30.0216
116,6.274120,30.0216
117,6.274120,30.0216
118,6.274120,30.0216
119,6.274120,30.0216
120,6.274120,30.0216
121,6.274120,30.0216
122,6.254527,30.0329
123,6.254527,30.0329
124,6.254527,30.0329
125,6.254527,30.0329
126,6.254527,30.0329
127,6.254527,30.0329
128,6.254527,30.0329
129,6.254527,30.0329
130,6.254527,30.0329
131,6.254527,30.0329
132,6.254527,30.0329
133,6.254527,30.0329
134,6.254527,30.0329
135,6.254527,30.0329
136,6.254527,30.0329
137,6.254527,30.0329
138,6.251325,30.0921
139,6.247126,30.0201
140,6.247126,30.0201
141,6.247126,30.0201
142,6.247126,30.0201
143,6.247126,30.0201
144,6.247126,30.0201
145,6.247126,30.0201
146,6.247126,30.0201
147,6.247126,30.0201
148,6.247126,30.0201
149,6.247126,30.0201
150,6.247126,30.0201
151,6.247126,30.0201
152,6.247126,30.0201
153,6.247126,30.0201
154,6.247126,30.0201
155,6.247126,30.0201
156,6.247126,30.0201
157,6.247126,30.0201
158,6.247126,30.0201
159,6.247126,30.0201
160,6.247126,30.0201
161,6.247126,30.0201
162,6.247126,30.0201
163,6.247126,30.0201
164,6.247126,30.0201
165,6.247126,30.0201
166,6.247126,30.0201
167,6.247126,30.0201
168,6.247126,30.0201
169,6.247126,30.0201
170,6.247126,30.0201
171,6.247126,30.0201
172,6.247126,30.0201
173,6.247126,30.0201
174,6.247126,30.0201
175,6.247126,30.0201
176,6.247126,30.0201
177,6.247126,30.0201
178,6.247126,30.0201
179,6.247126,30.0201
180,6.247126,30.0201
181,6.247126,30.0201
182,6.247126,30.0201
183,6.247126,30.0201
184,6.247126,30.0201
185,6.247126,30.0201
186,6.247126,30.0201
187,6.247126,30.0201
188,6.247126,30.0201
189,6.247126,30.0201
190,6.247126,30.0201
191,6.247126,30.0201
192,6.247126,30.0201
193,6.247126,30.0201
194,6.247126,30.0201
195,6.247126,30.0201
196,6.247126,30.0201
197,6.247126,30.0201
198,6.247126,30.0201
199,6.247126,30.0201
